City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,27.06,72,16,1.0,IN,1698212850
1,kiuruvesi,63.65,26.6167,-5.26,96,22,0.28,FI,1698212850
2,lata,40.1629,-8.3327,16.07,99,78,1.62,PT,1698212850
3,port-aux-francais,-49.35,70.2167,4.35,89,100,13.77,TF,1698212850
4,al lagowa,11.4,29.1333,29.16,52,77,2.14,SD,1698212850
5,bilibino,68.0546,166.4372,-16.64,99,24,1.96,RU,1698212850
6,longyearbyen,78.2186,15.6401,-4.09,86,75,2.06,SJ,1698212851
7,maragogi,-9.0122,-35.2225,22.88,86,24,2.8,BR,1698212851
8,roanoke rapids,36.4615,-77.6542,9.08,100,0,0.0,US,1698212851
9,talnakh,69.4865,88.3972,-6.81,94,100,1.23,RU,1698212851
10,north bay,46.3168,-79.4663,13.3,91,100,0.0,CA,1698212851
11,sandpoint,48.2766,-116.5533,4.82,81,100,5.14,US,1698212851
12,papatowai,-46.5619,169.4708,17.31,58,100,3.04,NZ,1698212851
13,redencao,-4.2258,-38.7306,21.84,97,37,0.47,BR,1698212851
14,bethel,41.3712,-73.414,12.6,86,0,1.54,US,1698212852
15,sao joao da barra,-21.6403,-41.0511,23.5,88,91,1.31,BR,1698212852
16,ain sefra,32.75,-0.5833,12.86,69,1,2.36,DZ,1698212852
17,puerto baquerizo moreno,-0.9,-89.6,23.79,84,96,3.75,EC,1698212852
18,nema,57.5067,50.5011,-4.29,90,32,3.05,RU,1698212852
19,waitangi,-43.9535,-176.5597,12.68,96,100,3.13,NZ,1698212852
20,iaciara,-14.0958,-46.6317,25.02,42,46,1.59,BR,1698212852
21,leh,34.1667,77.5833,4.08,29,10,1.24,IN,1698212853
22,puerto ayora,-0.7393,-90.3518,23.08,98,98,2.68,EC,1698212853
23,albany,42.6001,-73.9662,9.94,82,8,1.18,US,1698212853
24,vorgashor,67.5833,63.95,-13.86,95,21,2.61,RU,1698212853
25,edinburgh of the seven seas,-37.0676,-12.3116,10.57,77,80,9.52,SH,1698212853
26,mount gambier,-37.8333,140.7667,11.82,45,63,6.72,AU,1698212853
27,taro,-8.3862,115.28,28.0,64,45,2.02,ID,1698212853
28,anadyr,64.75,177.4833,3.28,100,40,7.0,RU,1698212853
29,orbeasca de sus,44.15,25.3167,17.9,52,100,2.6,RO,1698212854
30,blackmans bay,-43.0167,147.3167,9.85,70,96,1.79,AU,1698212854
31,luderitz,-26.6481,15.1594,19.92,52,0,5.32,NA,1698212854
32,georgetown,5.4112,100.3354,30.97,73,40,3.13,MY,1698212821
33,adamstown,-25.066,-130.1015,22.4,84,1,5.25,PN,1698212854
34,saldanha,-33.0117,17.9442,12.03,68,33,4.53,ZA,1698212854
35,wewak,-3.5534,143.6268,28.97,71,79,2.88,PG,1698212854
36,tralee,52.2704,-9.7026,6.38,94,31,2.67,IE,1698212855
37,grytviken,-54.2811,-36.5092,1.66,88,96,4.94,GS,1698212855
